48782671,0.396262,2.,77 points,30,,https://danluu.com/ai-coding/#appendix-agentic-loops-and-writing-this-post
48780801,>3,3.,217 points,52,,https://mistral.ai/news/leanstral-1-5/
48780417,>3,4.,232 points,76,,https://www.wafer.ai/blog/glm52-amd
48780870,1.418999,5.,191 points,89,,https://news.exeter.ac.uk/faculty-of-environment-science-and-economy/giant-trees-have-no-trouble-pumping-water-to-top-branches/
48739018,0.8862,6.,55 points,22,,https://mirtitles.org
48782219,>3,7.,77 points,14,,https://surfingcomplexity.blog/2026/07/03/synthesis-is-harder-than-analysis/
48781688,>3,8.,81 points,25,,https://mrbruh.com/msicenter/
48780865,1.722792,9.,130 points,28,,https://github.com/FossPrime/Steam-Controller-Auto-Charge
48779454,1.262925,10.,206 points,56,,https://github.com/searxng/searxng
48782435,>3,11.,57 points,25,,https://www.marginalia.nu/log/a_135_learn/
48778757,>3,12.,133 points,45,,https://crocidb.com/post/freebsd-ate-my-ram/
48780913,>3,13.,88 points,15,,https://worksinprogress.co/issue/how-amsterdam-invented-the-fire-department/
48781196,>3,14.,136 points,192,,https://katamari64.se/posts/2026/odin-wikipedia/
48775921,1.43366,15.,336 points,151,,https://github.com/jamesob/local-llm
48745855,0.779547,16.,10 points,1,,https://www.databricks.com/blog/lakebase-ltap-rethinking-database-storage
48781597,>3,17.,81 points,10,,https://soatok.blog/2026/06/30/soatoks-informal-guide-to-threat-models/
48780056,0.482502,18.,98 points,32,,https://epoch.ai/data-insights/cve-severity-spike
48749868,1.435856,19.,13 points,0,,https://github.com/adam-s/car-diagnosis
48782918,>3,20.,69 points,23,,https://www.dabeaz.com/courses.html
48735811,1.837163,21.,17 points,4,,https://davidslv.uk/2026/06/30/reading-binary-in-ruby.html
48776044,>3,22.,396 points,367,,https://phenomenalworld.org/analysis/the-anti-amazon/
48779723,1.263293,23.,105 points,7,,https://math.ucr.edu/home/baez/act_course/index.html
48739682,>3,24.,64 points,19,,https://blog.archive.org/2026/04/23/gone-but-not-forgotten-recovering-the-dead-web/
48776035,>3,25.,240 points,98,,https://interconnected.org/home/2026/07/03/factories
48779683,2.462409,26.,361 points,88,,https://citizenlab.ca/research/member-of-committee-investigating-spyware-hacked-with-pegasus/
48779906,>3,27.,0 points,0,,https://news.ycombinator.com/from?site=ycombinator.com
48742566,2.529547,28.,8 points,2,,https://news.ku.edu/news/article/study-reveals-what-people-really-see-when-they-read-lips
48730953,1.676906,29.,207 points,22,,https://ubuntu.com/blog/hunting-a-16-year-old-sqlite-bug-with-tla-is-dqlite-affected
48772573,1.160848,30.,295 points,97,,https://wordgard.net/
