iter	Passed	Remaining
409	3939	5668
410	3948	5658
411	3958	5649
412	3970	5642
413	3979	5633
414	3990	5625
415	4000	5616
416	4009	5606
417	4019	5596
418	4028	5586
419	4038	5576
420	4047	5567
421	4057	5557
422	4066	5547
423	4076	5537
424	4086	5528
425	4095	5518
426	4104	5508
427	4114	5499
428	4124	5489
429	4133	5479
430	4142	5469
431	4152	5459
432	4161	5449
433	4170	5439
434	4180	5429
435	4189	5419
436	4198	5408
437	4207	5399
438	4216	5388
439	4226	5378
440	4235	5368
441	4244	5358
442	4254	5348
443	4263	5338
444	4273	5329
445	4282	5319
446	4291	5309
447	4301	5299
448	4310	5290
449	4320	5280
450	4329	5270
451	4338	5259
452	4347	5249
453	4356	5239
454	4364	5228
455	4373	5217
456	4382	5207
457	4391	5197
458	4400	5186
459	4409	5176
460	4418	5166
461	4427	5156
462	4436	5145
463	4444	5134
464	4454	5124
465	4463	5114
466	4472	5104
467	4480	5093
468	4490	5083
469	4498	5073
470	4507	5062
471	4516	5052
472	4525	5042
473	4534	5031
474	4543	5021
475	4552	5011
476	4562	5002
477	4571	4992
478	4580	4982
479	4589	4971
480	4598	4961
481	4607	4951
482	4616	4941
483	4625	4930
484	4634	4920
485	4643	4910
486	4651	4900
487	4661	4890
488	4669	4879
489	4678	4869
490	4687	4859
491	4695	4848
492	4704	4838
493	4712	4827
494	4722	4817
495	4730	4807
496	4740	4797
497	4749	4787
498	4757	4776
499	4771	4771
500	4782	4763
501	4790	4752
502	4799	4742
503	4808	4731
504	4816	4720
505	4824	4709
506	4833	4699
507	4841	4689
508	4850	4678
509	4859	4668
510	4868	4658
511	4877	4648
512	4885	4638
513	4894	4628
514	4903	4617
515	4911	4607
516	4920	4597
517	4929	4586
518	4937	4576
519	4946	4565
520	4955	4555
521	4963	4545
522	4972	4534
523	4980	4524
524	4989	4514
525	4998	4504
526	5006	4493
527	5015	4483
528	5023	4472
529	5032	4462
530	5041	4453
531	5052	4444
532	5064	4436
533	5074	4428
534	5084	4419
535	5095	4410
536	5105	4401
537	5115	4392
538	5125	4383
539	5134	4373
540	5144	4364
541	5154	4356
542	5164	4346
543	5175	4337
544	5185	4329
545	5194	4319
546	5204	4310
547	5213	4300
548	5223	4291
549	5233	4282
550	5243	4273
551	5253	4263
552	5262	4254
553	5272	4244
554	5282	4235
555	5292	4226
556	5300	4215
557	5309	4205
558	5318	4195
559	5327	4185
560	5336	4175
561	5345	4165
562	5354	4155
563	5363	4146
564	5372	4136
565	5381	4126
566	5391	4117
567	5400	4107
568	5409	4097
569	5418	4087
570	5427	4077
571	5436	4067
572	5445	4057
573	5454	4048
574	5462	4037
575	5471	4027
576	5479	4017
577	5488	4007
