iter	Logloss
212	0.3924646578
213	0.3924301801
214	0.3924012745
215	0.3923843238
216	0.3923497553
217	0.3923128971
218	0.3922887403
219	0.392262247
220	0.392220131
221	0.3921884331
222	0.3921598709
223	0.392146831
224	0.3921186321
225	0.3921050278
226	0.3920645835
227	0.3920384444
228	0.3920175349
229	0.3919912876
230	0.3919616492
231	0.39191936
232	0.391897709
233	0.3918696717
234	0.3918696153
235	0.3918323961
236	0.3918178593
237	0.3918095541
238	0.3917864109
239	0.391756057
240	0.3917117548
241	0.3917117424
242	0.3916900378
243	0.3916778447
244	0.3916522259
245	0.391627672
246	0.3916033476
247	0.3915652432
248	0.391539824
249	0.3915033513
250	0.3914599026
251	0.3914549372
252	0.391430584
253	0.3913969947
254	0.3913773521
255	0.3913483839
256	0.3913070665
257	0.3912784581
258	0.3912627318
259	0.3912379732
260	0.3912029811
261	0.3911825896
262	0.3911517646
263	0.3911296042
264	0.3911035369
265	0.3910770691
266	0.391050603
267	0.3910286625
268	0.3910039393
269	0.3909878658
270	0.3909461209
271	0.3909153318
272	0.3908714659
273	0.3908316197
274	0.3908113565
275	0.3907919847
276	0.3907626036
277	0.3907345363
278	0.3906986677
279	0.3906792423
280	0.3906529965
281	0.3906203372
282	0.3905853967
283	0.3905639291
284	0.3905365012
285	0.3905079589
286	0.3904752552
287	0.3904469213
288	0.3904127681
289	0.3903773338
290	0.3903574139
291	0.3903243774
292	0.390294848
293	0.3902754815
294	0.3902425004
295	0.3902129175
296	0.3901819696
297	0.3901467661
298	0.3901192943
299	0.3900911176
300	0.3900614166
301	0.3900219812
302	0.389993413
303	0.3899590468
304	0.389928381
305	0.3899009845
306	0.3898803435
307	0.3898345312
308	0.3897770572
309	0.3897432746
310	0.3897101885
311	0.3896797221
312	0.3896507072
313	0.3896042624
314	0.3895784327
315	0.3895537925
316	0.3895291927
317	0.389486343
318	0.3894660131
319	0.3894316652
320	0.3894137934
321	0.3893806884
322	0.3893628781
323	0.3893376098
324	0.389285691
325	0.3892547082
326	0.3892343065
327	0.3892087538
328	0.3891799892
329	0.3891581207
330	0.3891313332
331	0.3890881953
332	0.3890694022
333	0.3890228999
334	0.388991473
335	0.3889666745
336	0.3889362856
337	0.3889103926
338	0.3888764497
339	0.3888534032
340	0.3888237845
341	0.3887919951
342	0.3887611845
343	0.3887366226
344	0.3887185631
345	0.38868204
346	0.3886380333
347	0.3886205906
348	0.3886005511
349	0.3885596795
350	0.3885226554
351	0.38849927
352	0.3884824591
353	0.3884514628
354	0.3884217502
355	0.3883962957
356	0.3883719226
357	0.3883364054
358	0.3882914119
359	0.3882592216
360	0.388230866
361	0.3882021904
362	0.3881739984
363	0.3881528299
364	0.3881199261
365	0.3880977107
366	0.3880719039
367	0.3880509335
368	0.3880081401
369	0.387978246
370	0.387948209
371	0.3879256844
372	0.387912642
373	0.3878883252
374	0.387858456
375	0.3878321381
376	0.3877957762
377	0.3877660878
378	0.3877464835
379	0.3877230175
380	0.3877078536
381	0.3876623313
382	0.3876400992
383	0.3876221656
384	0.3875914116
385	0.3875473048
386	0.3875325755
387	0.3875078553
388	0.3874806474
389	0.387457242
390	0.3874245003
391	0.3874028604
392	0.3873709724
393	0.387338156
394	0.3872993857
395	0.3872536751
396	0.3872309109
397	0.3872124579
398	0.387184083
399	0.3871399065
400	0.3871007982
401	0.387071201
402	0.3870429473
403	0.3869982386
404	0.3869680546
405	0.3869336922
406	0.386895908
407	0.3868760292
408	0.3868295123
409	0.3867685772
410	0.3867443168
411	0.3867264257
412	0.3866859521
413	0.3866670646
414	0.3866353649
415	0.3866036219
416	0.3865659884
417	0.3865460225
418	0.3865225568
419	0.386509701
420	0.3864772838
421	0.3864550238
422	0.3864319444
423	0.3863967874
424	0.3863567859
425	0.3863315531
426	0.3863065796
427	0.3862668379
428	0.3862465885
429	0.3862150289
430	0.3861822283
431	0.3861465524
432	0.3861146282
433	0.3860964594
434	0.3860748218
435	0.3860384472
436	0.38599207
437	0.3859694181
438	0.3859331569
439	0.3858922834
440	0.3858754589
441	0.3858574386
442	0.3858203324
443	0.3858035668
444	0.3857724062
445	0.3857355929
446	0.385715359
447	0.3856809952
448	0.3856555493
449	0.3856339585
450	0.3856140232
451	0.3855884537
452	0.385575412
453	0.3855510426
454	0.3855325468
455	0.3855151697
456	0.3854865705
457	0.3854658398
458	0.3854287533
459	0.3854056501
460	0.3853853558
461	0.3853574723
462	0.3853277402
463	0.3853108134
464	0.3852770251
465	0.3852367829
466	0.3852047639
467	0.3851660157
468	0.3851346149
469	0.3851073191
470	0.385071333
471	0.3850506923
472	0.3850357648
473	0.3850017886
474	0.3849677341
475	0.3849427261
476	0.3849213957
477	0.3849095107
478	0.3848890001
479	0.3848589587
480	0.384830716
481	0.38480458
482	0.3847636624
483	0.384726443
484	0.3846973673
485	0.3846721578
486	0.3846423694
487	0.3846185408
488	0.3845876173
489	0.3845613864
490	0.3845448705
491	0.3845098724
492	0.3844747422
493	0.3844504938
494	0.3844296265
495	0.3844006934
496	0.384364715
497	0.3843416564
498	0.3842954194
499	0.3842839641
500	0.3842449712
501	0.3842190997
502	0.3841863716
503	0.3841613017
504	0.3841372878
505	0.3841019773
506	0.3840711484
507	0.3840571282
508	0.3840400748
509	0.3840180833
510	0.383985428
511	0.3839743806
512	0.3839422185
513	0.3839212525
514	0.3839045551
515	0.3838739352
516	0.3838457049
517	0.3838129706
518	0.3837846789
519	0.383761029
520	0.3837295883
521	0.3837034434
522	0.3836750802
523	0.3836517121
524	0.383626833
525	0.3836112483
526	0.3835798344
527	0.3835532256
528	0.3835289202
529	0.3835013888
530	0.383476764
531	0.3834598809
532	0.383439148
533	0.3833973533
534	0.383366978
535	0.3833376024
536	0.383306111
537	0.3832701667
538	0.3832537063
539	0.3832199282
540	0.3831821546
541	0.3831651069
542	0.3831383172
543	0.3831175248
544	0.3830899408
545	0.3830564942
546	0.38303407
547	0.3829840416
548	0.3829505576
549	0.3829241771
550	0.3829027274
551	0.3828776384
552	0.3828638378
553	0.382843172
554	0.382813757
555	0.382780998
556	0.382756325
557	0.38271877
558	0.3826941867
559	0.382661285
560	0.3826332954
561	0.3826018776
562	0.3825720483
563	0.3825433366
564	0.3825093349
565	0.3824850135
566	0.3824514447
567	0.3824193031
568	0.3823904028
569	0.3823475521
570	0.3823081576
571	0.3822981378
572	0.3822840728
573	0.3822585253
574	0.3822308045
575	0.3822137839
576	0.3821887013
577	0.3821437475
578	0.3821228117
579	0.3821079655
580	0.3820780057
581	0.3820487239
582	0.3820182259
583	0.3820059009
584	0.3819774897
585	0.3819626817
586	0.3819425893
587	0.3819173161
588	0.3818928199
589	0.3818677844
590	0.3818457537
591	0.3818188473
592	0.3817872215
593	0.3817561837
594	0.3817343422
595	0.3817172082
596	0.3816921801
597	0.381665022
598	0.3816430423
599	0.3816191778
600	0.3816045267
601	0.3815755423
602	0.3815426352
603	0.3815226428
604	0.3814973588
605	0.3814772972
606	0.3814445264
607	0.3814269456
608	0.3813979669
609	0.3813841719
610	0.3813591449
611	0.3813280226
612	0.3813104572
613	0.381259704
614	0.3812406344
615	0.3812109053
616	0.381189663
617	0.3811545946
618	0.3811351922
619	0.3811114758
620	0.3810919259
621	0.3810675494
622	0.3810370766
623	0.3809987691
624	0.3809776679
625	0.3809414512
626	0.3809028681
627	0.3808854314
628	0.380842968
629	0.3808129813
630	0.3807883215
631	0.3807678165
632	0.3807410569
633	0.3807227095
634	0.3806943606
635	0.3806659331
636	0.3806299789
637	0.3806033613
638	0.3805803367
639	0.3805573165
640	0.3805275173
641	0.3805107913
642	0.3804826844
643	0.3804693938
644	0.3804515841
645	0.3804242297
646	0.3803979476
647	0.380386095
648	0.3803699645
649	0.3803556811
650	0.3803292559
651	0.3803081149
652	0.3802786972
653	0.3802616414
654	0.3802490393
655	0.3802376113
656	0.3801962905
657	0.3801764024
658	0.3801641271
659	0.3801420563
660	0.3801142343
661	0.3800912246
662	0.3800641693
663	0.3800379191
664	0.3800151432
665	0.3799885636
666	0.3799682799
667	0.379945444
668	0.3799214631
669	0.3798889606
670	0.3798674272
671	0.3798495972
672	0.3798298443
673	0.3798048797
674	0.3797888236
675	0.3797716005
676	0.3797415941
677	0.3797213556
678	0.379698595
679	0.3796867573
680	0.3796640255
681	0.3796447191
682	0.3796293734
683	0.3796103881
684	0.379576345
685	0.3795367731
686	0.3795121374
687	0.3794837343
688	0.3794551665
689	0.3794353281
690	0.379416775
691	0.379386019
692	0.3793760922
693	0.3793608779
694	0.3793375925
695	0.379325454
696	0.3793015023
697	0.3792848095
698	0.379255654
699	0.3792152417
700	0.3791928365
701	0.3791539135
702	0.3791341736
703	0.3791155731
704	0.3790946665
705	0.3790727081
706	0.3790485942
707	0.3790220067
708	0.3790036308
709	0.378976217
710	0.3789547035
711	0.3789231464
712	0.3789066975
713	0.3788929688
714	0.3788664254
715	0.3788329082
716	0.3788008312
717	0.3787795251
718	0.3787455349
719	0.3787266641
720	0.378706946
721	0.3786809985
722	0.3786633993
723	0.3786364866
724	0.3786124767
725	0.3785979027
726	0.3785721195
727	0.3785545925
728	0.3785407501
729	0.3785035765
730	0.3784852593
731	0.3784740324
732	0.3784461553
733	0.3784300324
734	0.3784039986
735	0.3783833505
736	0.3783631396
737	0.3783377443
738	0.3783159311
739	0.3782978657
740	0.3782826059
741	0.378253043
742	0.3782216039
743	0.3782089029
744	0.3781780138
745	0.3781487545
746	0.3781235658
747	0.3780906617
748	0.3780716654
749	0.3780572849
750	0.3780244845
751	0.3779952869
752	0.3779681262
753	0.3779263338
754	0.3779102464
755	0.3778923657
756	0.3778726472
757	0.3778456594
758	0.3778199697
759	0.3778053883
760	0.3777723267
761	0.377748548
762	0.3777234397
763	0.3777023893
764	0.3776871664
765	0.3776589511
766	0.3776424249
767	0.3776213003
768	0.3776042794
769	0.3775937143
770	0.3775760743
771	0.3775544619
772	0.3775329686
773	0.3775165548
774	0.3774720342
775	0.3774497621
776	0.3774252244
777	0.377406813
778	0.3773836796
779	0.3773619331
780	0.3773367714
781	0.3773169286
782	0.3773016317
783	0.3772854994
784	0.3772491481
785	0.377237675
786	0.3772137809
787	0.3771878695
788	0.3771734135
789	0.3771495547
790	0.3771295874
791	0.3771101383
792	0.3770881596
793	0.3770533239
794	0.3770431172
795	0.3770345836
796	0.3770021253
797	0.376970088
798	0.3769542858
799	0.3769312095
800	0.3769134778
801	0.3768943235
802	0.3768766139
803	0.3768525567
804	0.3768259008
805	0.3767995053
806	0.3767663439
807	0.3767479683
808	0.3767182516
809	0.3766973369
810	0.3766687555
811	0.3766585316
812	0.3766339305
813	0.3766220339
814	0.3766003035
815	0.3765657905
816	0.376546359
817	0.3765343716
818	0.376514181
819	0.3764960222
820	0.3764818335
821	0.3764511588
822	0.3764417231
823	0.3764121534
824	0.3763858321
825	0.3763665434
826	0.3763466144
827	0.3763270502
828	0.3763155901
829	0.3762948566
830	0.3762761568
831	0.3762548351
832	0.376236728
833	0.376225958
834	0.3761978523
835	0.3761766654
836	0.3761699921
837	0.3761477153
838	0.3761229107
839	0.3760990861
840	0.3760866613
841	0.3760612491
842	0.3760360112
843	0.3760247461
844	0.3760095044
845	0.3759889315
846	0.3759645555
847	0.3759468448
848	0.3759357606
849	0.3759228395
850	0.3758979197
851	0.3758787395
852	0.3758542464
853	0.3758216992
854	0.3757971801
855	0.3757820521
856	0.3757608931
857	0.3757369754
858	0.3757178433
859	0.3757016034
860	0.3756855949
861	0.3756589957
862	0.3756315456
863	0.3756071428
864	0.3755923819
865	0.3755737604
866	0.3755502461
867	0.37553278
868	0.3755042768
869	0.3754853487
870	0.3754606718
871	0.3754325126
872	0.3754139815
873	0.3753939699
874	0.3753574761
875	0.3753250003
876	0.3753163807
877	0.3752821197
878	0.3752613132
879	0.3752444488
880	0.3752361892
881	0.3752197193
882	0.3752032698
883	0.3751891183
884	0.3751686422
885	0.3751427989
886	0.375124406
887	0.3751091006
888	0.3750840016
889	0.3750686274
890	0.3750424015
891	0.375024466
892	0.3749994542
893	0.3749796488
894	0.3749558082
895	0.3749389202
896	0.3749231399
897	0.3749038732
898	0.3748832863
899	0.3748597977
900	0.3748139994
901	0.3747947355
902	0.374776386
903	0.3747547922
904	0.3747440436
905	0.3747237944
906	0.3747114477
907	0.3746953274
908	0.3746830639
909	0.374659641
910	0.3746301296
911	0.3745927486
912	0.3745683232
913	0.3745521732
914	0.3745346596
915	0.3745153672
916	0.3744934665
917	0.3744649142
918	0.3744257889
919	0.3744028183
920	0.3743832187
921	0.3743576161
922	0.3743350909
923	0.3743040044
924	0.3742829859
925	0.3742562416
926	0.3742399257
927	0.3742259463
928	0.3742132226
929	0.3742046814
930	0.3741784741
931	0.3741483008
932	0.3741255745
933	0.3741040906
934	0.3740799814
935	0.3740499508
936	0.3740277387
937	0.3739771173
938	0.3739603991
939	0.3739501424
940	0.3739387988
941	0.3739235107
942	0.3739091805
943	0.3738915054
944	0.3738660436
945	0.3738448977
946	0.3738309231
947	0.3738068171
948	0.3737829392
949	0.3737731558
950	0.3737492282
951	0.3737269545
952	0.373698997
953	0.3736816698
954	0.3736713277
955	0.3736556204
956	0.3736425331
957	0.3736142498
958	0.3735883794
959	0.37355833
960	0.3735385041
961	0.3735211068
962	0.3735003476
963	0.3734781416
964	0.3734621394
965	0.3734507899
966	0.3734229783
967	0.3734024893
968	0.3733776467
969	0.3733612212
970	0.3733352904
971	0.3733133383
972	0.3732921617
973	0.373265031
974	0.373248977
975	0.3732266034
976	0.3732078935
977	0.3731876622
978	0.3731641918
979	0.3731409496
980	0.3731246877
981	0.3731020426
982	0.3730781711
983	0.3730669847
984	0.3730416593
985	0.373011754
986	0.3729912397
987	0.3729786423
988	0.3729590492
989	0.3729452484
990	0.3729223981
991	0.3729015317
992	0.3728881964
993	0.3728730419
994	0.3728475905
995	0.3728078068
996	0.3727883398
997	0.3727685073
998	0.3727436674
999	0.3727090407
	0.3739882667
999	0.3739764534
