iter	Passed	Remaining
406	5773	8412
407	5795	8409
408	5810	8396
409	5823	8380
410	5839	8368
411	5853	8353
412	5866	8337
413	5879	8322
414	5895	8309
415	5908	8294
416	5927	8287
417	5942	8273
418	5961	8265
419	5978	8255
420	5994	8244
421	6007	8228
422	6022	8214
423	6040	8206
424	6054	8191
425	6073	8183
426	6091	8174
427	6109	8164
428	6122	8149
429	6139	8138
430	6153	8123
431	6169	8111
432	6183	8096
433	6199	8084
434	6216	8073
435	6232	8062
436	6245	8046
437	6258	8030
438	6274	8017
439	6289	8004
440	6302	7989
441	6318	7976
442	6333	7962
443	6347	7948
444	6360	7933
445	6374	7917
446	6390	7906
447	6405	7892
448	6420	7879
449	6435	7865
450	6451	7853
451	6466	7839
452	6478	7823
453	6493	7809
454	6509	7797
455	6523	7782
456	6537	7768
457	6551	7753
458	6568	7741
459	6580	7724
460	6596	7712
461	6612	7700
462	6627	7686
463	6641	7671
464	6654	7656
465	6667	7641
466	6681	7625
467	6701	7617
468	6716	7603
469	6731	7590
470	6744	7575
471	6759	7561
472	6777	7551
473	6793	7538
474	6809	7525
475	6823	7511
476	6838	7497
477	6851	7482
478	6866	7468
479	6881	7454
480	6896	7440
481	6913	7430
482	6927	7415
483	6941	7400
484	6955	7385
485	6970	7371
486	6984	7357
487	7000	7344
488	7014	7330
489	7028	7314
490	7042	7300
491	7059	7289
492	7073	7274
493	7089	7261
494	7104	7247
495	7118	7233
496	7133	7219
497	7148	7205
498	7162	7191
499	7179	7179
500	7193	7164
501	7210	7152
502	7224	7138
503	7238	7123
504	7252	7109
505	7267	7094
506	7281	7080
507	7295	7065
508	7307	7049
509	7321	7034
510	7334	7018
511	7348	7004
512	7363	6990
513	7376	6974
514	7388	6958
515	7403	6943
516	7418	6930
517	7431	6915
518	7445	6900
519	7458	6885
520	7476	6873
521	7491	6860
522	7505	6845
523	7520	6831
524	7531	6814
525	7545	6799
526	7559	6784
527	7572	6769
528	7585	6753
529	7599	6739
530	7612	6723
531	7627	6709
532	7639	6693
533	7653	6679
534	7668	6664
535	7684	6652
536	7696	6636
537	7710	6621
538	7724	6606
539	7738	6592
540	7753	6578
541	7767	6563
542	7779	6547
543	7792	6531
544	7808	6519
545	7826	6507
546	7839	6492
547	7854	6478
548	7868	6464
549	7883	6450
550	7898	6436
551	7911	6420
552	7924	6405
553	7937	6390
554	7952	6376
555	7966	6361
556	7981	6347
557	7995	6333
558	8010	6319
559	8023	6304
560	8037	6289
561	8053	6276
562	8067	6261
563	8080	6246
564	8094	6232
565	8108	6217
566	8122	6203
567	8138	6190
568	8151	6174
569	8166	6160
570	8180	6145
571	8193	6130
572	8207	6115
573	8225	6104
574	8240	6090
575	8258	6079
576	8274	6065
577	8291	6053
578	8306	6039
579	8323	6027
580	8338	6013
581	8354	6000
582	8371	5987
583	8404	5986
584	8441	5988
585	8462	5978
586	8479	5965
587	8493	5951
588	8507	5936
589	8523	5923
590	8538	5908
591	8552	5894
592	8567	5880
593	8582	5865
594	8597	5852
595	8612	5838
596	8629	5825
597	8643	5810
598	8659	5796
599	8672	5781
600	8688	5767
601	8706	5756
602	8719	5740
603	8734	5726
604	8748	5711
605	8762	5697
606	8777	5682
607	8791	5668
608	8805	5653
609	8819	5638
610	8831	5622
611	8845	5607
612	8859	5593
613	8871	5577
614	8885	5562
615	8898	5546
616	8913	5533
617	8929	5519
618	8943	5504
619	8958	5490
620	8973	5476
621	8985	5460
622	8999	5446
623	9014	5431
624	9029	5417
625	9043	5402
626	9058	5389
627	9074	5375
628	9087	5360
629	9103	5346
630	9118	5332
631	9131	5316
632	9146	5303
633	9159	5287
634	9173	5272
635	9185	5257
636	9199	5242
637	9212	5227
638	9225	5212
639	9239	5197
640	9252	5182
641	9264	5166
642	9278	5151
643	9291	5136
644	9307	5122
645	9322	5108
646	9337	5094
647	9349	5078
648	9362	5063
649	9376	5048
650	9390	5034
651	9403	5019
652	9415	5003
653	9430	4989
654	9444	4974
655	9459	4960
656	9474	4946
657	9488	4931
658	9503	4917
659	9517	4903
660	9531	4888
661	9546	4874
662	9560	4859
663	9573	4844
664	9587	4829
665	9601	4815
